sentence,gpt_labels,warning,log
"Ik overdagt de nuttigheid der winterkoude, die het ongedierte doodt, de onreine schadelijke dampen verjaagt en ons ruimer ademen doet; terwijl zij de aarde een vrugtbaarmaakende rust bezorgt, die haar kragten geeft tot nieuwe voortbrenging, en hier in vond ik een toereikenden troost tegen alle hare ongemakken.","[(51, 61, 'animals')]",False,
"’ Twee waarnemingen, betreffende de gelukkige behandeling van den croup.",[],False,
"De Offerpriester geeft een sein om het vuur des Altaars te doen ontbranden: de Toortsdrager, uit al te grooten ijver om zijne taak met roem te volbrengen, zwaait met zijne fakkel ginds en herwaarts, om den brandstapel met glans te ontsteken, doch al slingerende verzengt hij bij toeval den staart van het paard, welke zoo gevoelig was geworden door het driftig uitrukken der haren.","[(305, 310, 'animals')]",False,
"De zoete amandel-olie is dienstig om de schorheit en scherpigheit van de keel, long en nieren, en van de uitwendige deelen te verzagten, en om de hardigheit en droogheit der gewrigten en andere deelen van ’t ligchaam te genezen.","[(9, 16, 'plants')]",False,
"Het onweer was voorbij; maar op de druipende toppen der boomen schenen dichte, zware, donkere wolken-massa's te drukken.","[(56, 62, 'plants')]",False,
"Hoewel het hem diep smartte, van zijne beminde ouders en bovenal van zijnen tuin te moeten scheiden, vond hij evenwel voor het laatste in zijne nieuwe woonplaats eenige vergoeding.",[],False,
"De Bloemen van die, welke in de Tuinen groeit zyn rood, hebben lippen, zynde de opperste geheel, en de onderste gespleten; die op ’t Land wassen zyn wit, zy komen met de Bladen langs de stelen uit; de Wortel is fyn, vol haartjes en verspreid door de Aarde.","[(3, 10, 'plants'), (32, 38, 'plants'), (170, 176, 'plants'), (201, 207, 'plants')]",False,
"De rund'ren loeiden ook een lied; Maar hoe of waar ik zoek, Ik vind geen enkel koeienwoord In heel mijn woordenboek.","[(3, 11, 'animals')]",False,
"In sulcker voeghen datmen gheseydt soude hebben dattet eenen Ezel gheweest waere die brulde, ende als hy die niet en sach liet hy't licht henen loopen, nochtans heeft hy't soo weten te doen dattet Bientevienne de Man noch niemandt vande ghebueren ghewaer en is gheworden, ende om meerder kennisse met Bellecoleur te maecken: schonck hy haer d'een ure voor d'ander nae wat, ende sant haer somtijdts een bosselken verssen Loock (die hy van den schoonsten van 't gheweste in eenen sijnen Hof hadde, ende somtijdts een korfken vol nieuwe Erthauwen, ende somtijdts een bosken Aju[y]ns ofte Schaloengikens, ende als hy de gheleghentheydt kreegh, soo belonckten hy haer met eenen hoeck ooghs over dwers, ghelijck eenen Hondt die eenen anderen bijten wil, ende sy haer ghelaetende van dat niet eens te mercken, ende dat in onweerden te hebben, tradt voorts heenen voorby, waer door de Paep op't stuck niet en heeft weten te raecken.",[],True,'Ajuyns' (plants) not found
"Nu, in de meimaand krijgt het ieder dag nieuwe reine bloemen, door reine handen geplukt, door reine harten opgedragen - en ook gewis beloond door een reinen blik uit den Hemel.","[(53, 60, 'plants')]",False,
"dat in eene kleine streek, niet ver van Bergen, somtijds in éénen togt tienduizend tonnen haring gevangen werden?","[(90, 96, 'animals')]",False,
"Zulk een tetraphalangarchie, gewoonlijk groote Macedonische phalanx genoemd, bestond in ronde getallen uit 16000 hopliten, 8000 peltasten, 4000 psiliten en 4000 cataphracten of geharnaste ruiters.",[],False,
"O suyuer maecht, daer tlicht wt daecht V groot ootmoet heeft Godt behaecht Daerom sijt ghij vercoren Adams sonden heeft hij beclaecht Die van v wert onuersaecht // geboren Om tschaepken dat was verloren.","[(175, 185, 'animals')]",False,
"oulings evenveel als krekel, heeft niets gemeens met het volgende stapel, en schijnt evenzeer afkomstig van stappen, als het hoogd.","[(21, 27, 'animals')]",False,
"In den eenen hoek staan twee citroenboomen, met vruchten beladen, oleanders van vijf zes meters hoog, en een slangencactus van gelijke afmeting.","[(29, 42, 'plants'), (66, 75, 'plants'), (109, 122, 'plants')]",False,
"Het voelt dat algemeene leven, dat hem geen wanverband nog merken laat tusschen de verschillende wezens.","[(97, 103, 'animals')]",False,
"Wel is er gezegd, hetgeen de waarheid is, dat onze tegenwoordige naam rietvink (rietmosch) oudtijds roervink luidde, wat dezelfde beteekenis had.","[(70, 78, 'animals'), (100, 108, 'animals')]",False,
"zeid Merkuur; koop wortels voor uw geld Dan word gy ligtelyk tot Directeur gesteld Van 't agtbaar Wezep, om de Varkens vet te mesten, Dog deeze Compagnie is ligt nog de alderbesten, Want Zwynen dienen nog tot 's leevens onderhouwd, Vul daar uw Maag dan meê, als u de hoop berouwd, Die u op Rook, op Wind, op Niet uw geld deed geeven; Maak ieder Actie tot een Zwyn om van te leeven.","[(19, 26, 'plants'), (111, 118, 'animals'), (187, 193, 'animals')]",False,
De reyne Liefd' stinckt in dees landen: Zy minnen Nummulariam: Verheven is des goudt-bloems stam: Satyrion (o schandt der schanden!) Ghebruycken sy tot onreyn branden: Naer my niet taelet!,"[(50, 60, 'plants'), (79, 91, 'plants'), (98, 106, 'plants')]",False,
"Schaemt u oock niet t’af schaffen sulcken saeck, Die ghy voor goet doch nimmer kunt proberen, En neemt voortaen u aldermeest vermaeck In Vaderlijck de Schapen te hanteren; Leert ‘t Schaep met ‘t Schaep, door ‘t voorbeelt van u leven T’saem minsaem zijn, en ‘t Lam zijn eere gheven.",[],True,Multiple occurrences of 'Schaep' (animals)
"Keizer Karel begiftigde haar met een blazoen, voorstellende Christus uitgestrekt op een Eglentier, groeiende in den vorm van een kruishout, met het randschrift: ‘Als een boom aan de waterbeken, zo zyn ook de vromen geleken’ en de sinnespreuk: In liefde bloeiende.","[(88, 97, 'plants'), (170, 174, 'plants')]",False,
Kokonor is op 't Tartarsch groot Water of groote Meir gezegt.,[],False,
"Alleenig wil ik je nog zeiën, dat 'et geen vuuf maenden duurde, of 'k 'ieuw ik brulof mî Leuntje van de Paerdenblom.","[(104, 115, 'plants')]",False,
"‘De oorlog is een grootsch schouwspel, mijnheer,’ hernam zij, ‘maar ik hoû meer van bloemen, ik bemin de bloemen, ik bezing de bloemen in verheven verzen.",[],True,Multiple occurrences of 'bloemen' (plants)
"Men siet oock aen de duyn-kant komen, Veel Hasen en Konyntjes goet, Die den Iager al sonder schroomen, Voor ’s menschen voetsel schieten moet, Gaet dan met eenen wat verder treden, Langes de zee kant met pleysier, En wilt aenschouwen, sonder benouwen, Alle de Vissertjes also fier.","[(43, 48, 'animals'), (52, 61, 'animals')]",False,
"Dikwils maekt hy gebruyk van beélden en vergelykingen die treffend zyn: Gelyk den wilden stier getergd en horen- dul Niet konnende zyn gals gestuymde prickels breken, Noch d'ingeslorpten wrok op synen boesem vreken, Koelt den ontsteken torn op hagen en geboomt Tot dat d'onsonken kracht met tyd-verloop hem toomt: Zoo bortelt Maximin, enz. Elders zingt hy van God (dryvoudigh gepersoont): Di van en door hem selv en macht en leven hévt En aán't geestroerigh All en macht en leven gévt, Onpeylbaar, onberoerd, uyt eygen krachten blykelyk, En nochtans onbekend en nergens aan gelykelyk, Almachtich, All alleen, en nimand onderdaan, Waar sonder niet en is, noch iet en kan bestaan, Begin en eyndeloos, uyt d'eeuwigheyd voorts komen Eer stonden, uren dag oft tyd wierd aangenomen: Als all' den All bestond in't diep verholen licht, In't licht dat alle licht der lichten hévt gesticht.","[(244, 249, 'plants'), (253, 260, 'plants'), (89, 94, 'animals')]",False,
"Sy voeghden'er by, deselve omringhd te zijn van seer groote, blaffende Honden; daer door beteeckenende 't groot gevaer, veroorsaeckt door 't stooten der Wateren tegens malkander; insonderheyd wanneerse tegens de holle Klip Scylla aenslaen; gevende een geluyd, als of men een deel Honden met alle maght hoorde baffen.",[],True,Multiple occurrences of 'Honden' (animals)
"Zo die leugen doorgaat voor een waare Vertelling, dan zyn de Kastanjetten ruim zo oud als de Lier, en dan staan beide die Bedel-instrumenten op een egaale hoogte.",[],False,
"vallegia, hoogd.",[],False,
"Zekere uit een ander land tot ons overge-bragte plant, welker naam daarom ook vreemd is.","[(48, 53, 'plants')]",False,
"De Roofdieren onzes Vaderlands, als Wolven en Vossen, eeten vleesch; anderen, gelyk Otters en Bevers, worden door visch gevoed; eenigen gelyk de Varkens, vallen zeer gulzig op alles aan: dan die hoeven aan de pooten hebben, eeten gras, hooi en koorn; welke soort van Dieren de tamste en gemeenzaamste met de Menschen zyn: zeer gelukkig inderdaad!","[(230, 234, 'plants'), (236, 240, 'plants'), (244, 249, 'plants'), (3, 13, 'animals'), (36, 42, 'animals'), (46, 52, 'animals'), (84, 90, 'animals'), (94, 100, 'animals'), (145, 152, 'animals'), (267, 273, 'animals')]",False,
"Zoo tegen zichzelven redenerende was hy de dreef doorgewandeld, welke van zyn huis naer een niet ver afgelegen boschje liep, en hier naderde hy een wooningsken, zoo gering van voorkomen, dat men wel opletten moest om het tusschen de linden en het klein gewas te onderscheiden.","[(233, 239, 'plants'), (247, 258, 'plants')]",False,
"Verhef het tot een hooger trans, En laat van de opgestoken lans D' ontzachbren Liebaart Daar de arend, in zijn steilste vlucht, Hem welkom heet in 't blaauw der lucht Bij 't schittrend bliksemzwaaien!","[(96, 101, 'animals')]",False,
"Men moet een soort van vierdepart van een rad maken van Perenbóómen hout, dat ontrent derdalveduim dik en wel glad is.",[],True,'Perenbomen' (plants) not found
"Ja, Neêrlands Maggellaan!",[],False,
Hy stont so blijdelick aenden staeck Hy gevoelde van binnen der liefden smaeck Hy sprack met eenen moede Heer Iesus Ende De weerlicke heeren som wisten wel bet Maer twert hen vanden Schriften belet Sy ginghen Pilatus ganghen Sy leverden de wolven d'onnoosel bloet Na allen haer verlanghen.,"[(240, 246, 'animals')]",False,
"Wilt de zuiker niet vergeeten, Na de Koffy smaakt het eeten, Dat heb ik lang geweeten, Krygt kopjes maakt u klaar, Teeuwis zal het water kooken, Wyl hy zit een pyp te smooken, En gelyk een droes te rooken, De Koffy is gaar.",[],False,
"Ondertusschen bedraagt deszelfs geheele dikte toch niet minder dan acht duim; en rekent men hierbij de dikke spieren van de tromp, zoo wordt het begrijpelijk, dat men met de beste buks, op eenen min of meer aanmerkelijken afstand, tegen den olifant niets uitregt.","[(241, 248, 'animals')]",False,
"Toen ik mij dan ook naar Grave zou begeven om de omstreken te bezoeken, was een moerbak mijn eerste vervoermiddel, dat mij behouden op weg bracht, dat wil zeggen zonder natte voeten, en dit beteekent al heel veel.",[],False,
"Ik besluit dan deze voorlezing met den opregten wensch, dat de menschen spoedig de volkomen overhand over de ezels mogen krijgen!","[(109, 114, 'animals')]",False,
"Als hy Predikant wordt, zou ik hem gaarn op Kipdorp zien.",[],False,
Een wit paard van de infante was ook buit gemaakt en werd nu het eigendom van graaf Ernst.,"[(8, 13, 'animals')]",False,
"Neem me niet kwalijk, Heerzoon, bij die Roodhuiden hebt ge, zoo veel ik er van overtuigd ben, veel goeds gedaan, maar voor uzelven zijt ge wel wat vergeten hoe men met beschaafde kinderen....",[],False,
"'Er groeyen thans reeds honderden van Kaneelbomen op het Eiland Jamaica; zynde voor korte jaren twee jonge Bomen, uit een Fransch Vaartuig, 't geen door den Adm. Rodney genomen was, aldaar gebragt en vervolgens met zo veel vlyt gekweekt, dat de Afzetzels daar van over 't gantsche Eiland verspreid zyn.","[(38, 49, 'plants')]",False,
"Voor dieren waarmeê men nader vertrouwd raakte, of die men vreesde, vond men weldra eigennamen, waardoor een nieuw waas van gelijkheid of overeenkomst over beiden werd uitgegoten.","[(5, 11, 'animals')]",False,
"En hier ook, daar 't vernuft, door kunstige Fabrijken, De Troon-tapijten weeft, voor weidsche Koningrijken; Hier, daar d'Armener, en de Egypter wordt gekleed, En 't Persisch kamelot tot zijden stof gereed; Hier, daar men 't worm-gespin doet tot fluweel verstrekken, En 't barre Noorden kan, met Leydsche dekens, dekken; Hier is het, dat de kunst nog op haar zetel zit: Hier tart ze, schoon verdrukt, den Beunhaas van den Brit.","[(224, 228, 'animals')]",False,
"Myn perkplantzoen, En witgespoelde schulpjes, Myn tweede groen Verfrischt door koele gulpjes, Zyn wel te vree met heuvel - dal - en duinen: De pluimstem schatert langs bedroopen tuinen.","[(4, 17, 'plants')]",False,
Het verkeerde dier handelingen blijft niettemin bestaan.,"[(14, 18, 'animals')]",False,
"Den dienaer Julius verloopen zijnde, werdt soo wel vervolght dat hy tot Aken achterhaeld werdt, alwaer hy gheradbraeckt wert ende levende op een rat ghestelt, alwaer hy noch twee dagen ellendelijk leefde.",[],False,
"Praat gy van het contrarie zo veel als het u lust, wy begeeren geen roozen, als 'er te veel doornen aan den struik pronken.","[(68, 74, 'plants'), (108, 114, 'plants')]",False,
"Na de meeste landen van Europa tot vermeerdering zijner kundigheden doorreisd, en aan het Keizerlijk Hof verkeerd te hebben, had hij zich, behalve door zijne taalkunde, inzonderheid wegens zijne kennis van planten en kruiden een' grooten roem verworven, waarvan ook zijne nagelaten werken getuigen, onder welke er zijn, wier eerste uitgaven, bij plantijn gedrukt, ook om de keurige houtsneden afbeeldingen aanmerkelijk zijn.","[(206, 213, 'plants'), (217, 224, 'plants')]",False,
"Een aap, die hem zeer dicht genaderd was, meende hij te kunnen grijpen, maar voor hij de hand uitstak, zat de aap reeds in den top van den boom, en zijn geschreeuw werd herhaald door zijne makkers, zoodat er een oorverdoovend concert plaats had; schaterlachend, rukte Trémeaux het koord los en klom uit den boom.",[],True,Multiple occurrences of 'boom' (plants); Multiple occurrences of 'aap' (animals)
"V. De Vos, van Kortrijk.","[(6, 9, 'animals')]",False,
"Die lindenboom is mij een onvergetelijk souvenir, en geen statig woud heeft mij, in later jaren, aangenamer herinneringen geschonken!","[(4, 14, 'plants')]",False,
"Daar komen de Puffins in groote menigte met het Voorjaar, en maaken eenen aanvang met de Konynen te beoorlogen, die de eenige bewoonders van dit Eilandje zyn; deeze dryven zy uit hunne holen, om in dezelve te nestelen.","[(14, 21, 'animals'), (89, 96, 'animals')]",False,
"Riddersporen, onder het heengaan.","[(0, 12, 'plants')]",False,
"De Noot van deeze Vrugt is zeer hard en spits; en bevat een langagtigen, witten, vleeschagtigen, olieagtigen, aangenaam smaakenden Amandel; die met een dun, bruin rood en met een Harstagtig Poeier bestrooid huideken, bekleed is.","[(131, 138, 'plants')]",False,
"Door J.N. Brewer, Esq. De Reiziger verbeeldt zich zeer ligt, dat hij de voorwerpen in een nieuw licht beschouwt; van hier dat de Reisbeschrijvingen van meerder en minder uitgebreidheids zo veelvuldig zijn, dat de wereld 'er als mede overlaaden worde; dan desniettegenstaande mag, misschien, derzelver verbaazend aantal een voordeel gerekend worden, als men bedenkt, dat de eene Reiziger op weg gaat als een Plant- en Kruidkundige, een ander als een Delfstofkundige, terwijl een derde zich bepaalt tot het schilderen van schoone of ontzagwekkende Voorwerpen, en een vierde meer van nabij de Characters en Zeden der bezogte streeken beschouwt, en daarvan eene schilderij ophangt, strekkende om onze Volks- en Menschkunde te vermeerderen.",[],False,
"Daer wordt ghy als een Lam, stil-swijgende geslaegen, Van eenen snooden boef: ô smaet!","[(23, 26, 'animals')]",False,
"Een dier gewesten Famine genoemt, is zeer vrugtbaér in koorn, wynen en alderleyen leeftocht, hebbende ook verscheyde mynen en steengroeven.","[(55, 60, 'plants')]",False,
"Een polemisch geschriftje, des auteurs zwanezang, dat den vreemden titel Scoparius draagt?",[],False,
"Ieder jaar komen kooplieden deze waar, alsmede de dons der eenden en den gezouten en gerookten visch, bij deze nijverige bevolking, opkoopen.","[(59, 65, 'animals'), (95, 100, 'animals')]",False,
Ik spoedde mij wederom naar het raam en zag nu hoe onze ulanen bezig waren om hunne paarden te zadelen en zich zelven tot het vertrek gereed te maken; mijn paard stond reeds voor mijne deur.,[],True,Multiple occurrences of 'paard' (animals)
Gy kunt de lessen van den Ammirael heel aerdig?,[],False,
"Musk, muskus: dewijl hij zijn dreck voor muskeljaat veijlen wilt.","[(0, 4, 'animals')]",False,
"Onze pastoor was een man in de volle kracht des levens, en zijne hooge, forsche gestalte, zijne schitterende zwarte oogen, zijne fiere en vaste trekken, de moed en de schranderheid, die zich teekenden op zijn hoog ontbloot voorhoofd, enkel door het zwarte calotje gedekt, kenschetsten hem als iemand, die meer geschikt moest zijn eene grootere en weêrbarstiger kudde heen te voeren langs de rotsen en afgronden, die den engen weg omgeven, dan die schaarsche en volgzame schapen zacht-kens voort te leiden door het rustige dal, waar hij ze vond.","[(470, 477, 'animals')]",False,
"In Ierland, Engeland, Nederland, Zweden, enz. wordt ongemeen veel leder gemaakt, (daar wij schoenen, laarzen, enz. van dragen, en waarvan zulk een groot gedeelte aan de rijtuigen gebruikt wordt,) hetwelk alles van de huid der runderen komt; terwijl die der kalveren ook vele nuttigheden aanbrengt.","[(226, 234, 'animals'), (257, 265, 'animals')]",False,
"In de Scandinavische fabelleer zijn zij als wormen uit het vleesch van den reus IJmer, en volgens de Germaansche sage uit het stof der aarde voortgesproten.","[(44, 50, 'animals')]",False,
"Dees Vlieger was van Frans Papier, En had een a la Mode zwier, Om dat hy over al beplackt was, Met geele Lely oft bekackt was.","[(105, 109, 'plants')]",False,
"En komt onze ooijevaar dan weêr, De langpoot met zijn langen bek, Dan zal 't een pret zijn!","[(13, 22, 'animals')]",False,
"Elvire, speelende op de luit, Verzelt dus zingend' haar geluid: Ik groet u, wapprend lentezuchtje, Wiens adem zomerhitte koelt; 'k Begroet u, boomen, dal, gehuchtje, Gelukkig veld, zoo mild bespoeld; Ook u, die van de bergen daalt, En zoo getrouw mijn stil gezang herhaalt.","[(142, 148, 'plants')]",False,
"A. Wyl de Planten geene eigenlyk gezegde takken hebben, en Bloemen, Zaaden en Vruchten veelen merktekenen eener Godlyke Wysheid draagen, zal ik van de laatsten afzonderlyk met U spreeken, en van de eersten dan, wanneer we van de Boomen handelen.","[(10, 17, 'plants'), (59, 66, 'plants'), (68, 74, 'plants'), (78, 86, 'plants'), (229, 235, 'plants')]",False,
"Wanneer de Baeren sigh verheffen gelijck Bergen, soo treed hy op de hooghten der Zee, Job ix.","[(11, 17, 'animals')]",False,
"Van de kuit dezer driederlei aert van Steur, makenze Kaviaert.","[(38, 43, 'animals')]",False,
"Als j'haar aan-raakt, en weet zy haar gantsch niet te verdedigen gelijk vele andere Rupzen; maar zy rolt haar in een, en traaglijk.","[(84, 90, 'animals')]",False,
"Geen van ons zou zijn lot willen verruilen tegen dat van den schildwacht daar ginds in zijn bespottelijk pak en met zijn zwaar geweer op den schouder, die als een ijsbeer in zijne kooi moet heen en weer wandelen, terwijl wij hier, zooals gij ziet, bij eene lekkere kachel ons pijpje zitten te roken en, terwijl we welstaanshalve met de handen wat treuzelen, elkander inderdaad den tijd korten met allerlei grappige vertelseltjes.",[],False,
"Vorstenglorie, Dichtren-loover, Boog in 't ridderlijk weleer Voor hun minnelijk getoover, Voor hun teeder lachje neêr.","[(15, 30, 'plants')]",False,
"Zij houwen blindlings toe en missen nooit, Maar vlijmen schild of maliekolder open.",[],False,
"11 Voorts op de Feesten, ende op de gesette Hooghtijden sal het spijs-offer zijn, een Epha tot eenen varre, ende een Epha tot eenen ram; maer tot de lammeren, eene 12 Ende als de Vorst een vrywilligh offer sal doen, een brand-offer ofte danckofferen [tot] een vrywilligh offer den HEERE, soo sal men hem de poorte openen, die na het Oosten siet; ende hy sal sijn brand-offer ende sijne danck-offeren doen, gelijck als hy sal gedaen hebben op den Sabbathdagh: ende als hy [weder] uytgaet, salmen de poorte sluyten, na dat hy uytgegaen sal zijn.","[(101, 106, 'animals'), (132, 135, 'animals'), (149, 157, 'animals')]",False,
Wat zijn er al gedichten gemaakt op hondentrouw en hondenvriendschap!,[],True,Multiple occurrences of 'hond' (animals)
"En eer een mensch zijn huis verliet Begaf een priester zich ter kerk, bij vroegen morgen; Hij vond de schaapjes, ach!","[(102, 111, 'animals')]",False,
"Bevende bekende hij, dat hij zijne trekken herkende, en te gelijker tijd begon hij zich over zijn onredelijk gedrag te verontschuldigen; maar de wilde viel hem in de rede, hem koeltjes toevoegende: ‘Wanneer gij eenen armen Indiaan ziet, die van dorst sterft en u een glas water vraagt, zoo geef het hem, en zeg nooit weder: ga heen, Indiaansche hond!","[(333, 349, 'animals')]",False,
"Sy keeren 's aavonds we'er ter jagt, En tieren, als een hond, by nacht.","[(56, 60, 'animals')]",False,
"Voor 't overige onthouden de Wilde Ganzen, by derzelver te rugkomst, in den Voortyd, zich in onze landstreeken niet: in de lugt ziet men ze zelfs in zeer kleinen getale, en 't is waarschynlyk dat deeze reizende Vogels langs twee onderscheide wegen heen trekken, en wederkeeren.","[(29, 41, 'animals'), (211, 217, 'animals')]",False,
Van de Bevers.413.,"[(7, 13, 'animals')]",False,
Gheluckigh paer// Doet ons te gaer Uw' sporen volgen naer.,[],False,
"Sie het eerste klockje Eyscht een kusje; dat is soet, Schaepje ’t is een lockje Als men dit soo geestigh doedt.","[(15, 22, 'plants'), (54, 62, 'animals')]",False,
"En zijn dat ook bloemen, dat zilverachtig witte randje?","[(16, 23, 'plants')]",False,
"Wanneer wy onze hartstogten voelen woelen in onze boezems, of de driften in onze aderen zieden, jaa wanneer de zorgen aan den bloesem van ons leeven knaagen, en wy naderen het slaapend kind, ô dan houden onze hartstogten eensklaps stil, onze driften bekoelen, en de worm der zorg houdt op met knaagen.","[(126, 133, 'plants'), (266, 270, 'animals')]",False,
", welke aan den oostelijken ingang des voorhofs van salomo's tempel stonden, waren met leliën en granaat-appels versierd, dat in de Vrijmetselarij eene zinnebeeldige beteekenis heeft.","[(87, 93, 'plants'), (97, 111, 'plants')]",False,
"En voor den boom, die 't beeldje droeg, Daar kwam hij laat, daar kwam hij vroeg, En stamelde er een bede; En wijl dit God gevallig scheen, Begaven zich er meerdren heen En knielden met hem mede.","[(12, 16, 'plants')]",False,
Niet tegenstaande dit en het huis bedryf zyn zy geene Huishennen geworden.,"[(54, 64, 'animals')]",False,
"t GEzelschap van jonge Iuffers, Daar ik 'er onlangs nu zat: Wijl d' oude en koude Susters, Na Bed zijn en uyt de Stad: Doorsnuffelt men Winkel en hoeken, Op dat men het wel monteerd, Men ging het Boeltje door zoeken, Al wat 'er was en mankeerd, Za lustig, za lustig, za, za. Van d' Tafel af wy beginnen, Daar eerst een Theetje was; 't Is beter als Nayen en Spinnen, De Meysjes Klaver-jas: Dat was 'er dat twee confoortje, De Ionkmans onbeschroomt, In Beste-vaars pruttel-poortje, Een Pijpje wie had 't gedroomt, Za lustig, za lustig, za, za. Vijf-honderd Inlandz' Handsjovis, Zag men der ter Tafel gaan: Men riep dat Kosje is Soutjes: Daar zal een Glaasje op staan, Een Schotel met dertien Koeken, Agt Roemertjes en een Bier-glas; Zervetten en Tafel-doeken, Die waaren juyst in de Was, Za lustig, za lustig, za, za. Een Doosje met schoon' Prumellen, Een-en-vijftig Noten mee: De Mangelen niet om te tellen, We verwachten Rozijnen uyt Zee; Een dertig Sopper-de-groentjes, Vijf regelen Witte-brood, Sta vast op Muyltjes en Schoentjes, Daar blijft 'er wis een van dood: Za lustig, za lustig, za, za. Twee Botertjes, dertien Beschuyten, Het mogt 'er geen Wormer zijn, Men begon eens zagjes te fluyten: Dat was 'er te zeggen brengt Wijn; Ik zag 'er vijf Bottels, twee Staartjes, En weetje niet hoe ik het meen, Ik dagt by zullie Zaartjes, En ziet men noyt eenig geween; Za lustig, za lustig, za, za. Eene Vadoek al met een naatje, Een Aibezempje met een scheur, Een Bierkan met een gaatje Daar lekten het zomtijds eens deur, Een Doof-pot met een Doove-kolen, Zeer tamelijk voorzien, Al wat 'er nog is verholen; Dat zeg ik u wel allien; Za lustig, za lustig, za, za. De Soldaten gaan op marode, 't Is troosje mijn lieve Broer, Dat was 'er genoeg geboden, Terwijle wy op de vloer, Ons Tafel en leger-stee maaken, Gelijk een moedig Soldaat, Om aan zijn kost te raken, Zo hy der geen moeyte en spaard; Za lustig, za lustig, za, za. Als dese Magolze Maaltijd, Een eynde genomen had; Indienje nog niet verzaad zijt, Zo zingt en springt 'er u zat, Want ziet ik had het vergeeten, Wy kregen op 't lest nog Wijn, Wij zouden daar niet van zweeten, Nog dronken nog vol van zijn, Za lustig, za lustig, za, za. Klugt van Jantje en Tryntje.","[(839, 848, 'plants'), (865, 870, 'plants'), (879, 887, 'plants'), (921, 929, 'plants'), (564, 574, 'animals')]",False,
"’ - - ‘En waarom mét?’ vroeg Vanissa, terwijl zy zich van 't paard liet glijden, ‘zoo dit het eenig middel ter uitkomst is.","[(61, 66, 'animals')]",False,
"waarom niet geschreven eene brochure over den vogel Dodo, over het muntwezen, over de beroeping van Dr. Meijboom, Zaalberg - of een handboek voor voogden, notarissen, of Gereformeerde ouderlingen en leeken, om de zuiverheid der leer ter kennisse te brengen aan allen, die onzuiveren en ketters zijn?","[(52, 56, 'animals')]",False,
"Doch indien daar toe tyd of geleegenheid ontbreekt, moet men ten minsten tragten, het kind eens in voorraad, op zulke plaatsen te brengen, en aldaar aan 't zelve, die groenten, vrugten, &c. aan te wyzen, op dat hy 'er zig vervolgens, by 't leezen van 't gesprekje, des te beeter denkbeelden van moge maaken.","[(167, 175, 'plants'), (177, 184, 'plants')]",False,
"Als dit zag de leeuw verheven, Heeft hy den lintworm toen terstond gebragt om 't leven.","[(15, 20, 'animals'), (44, 52, 'animals')]",False,
"Maar was het te verwachten, dat mannen, als van geuns en thuessink, met de half voldra gene hersenvruchten van den Schot zouden wegloopen, of deszelfs leerstellingen hunnen toehoorderen bijzonder, of althans meer zouden aanprijzen, dan als de vlugtige invallen van een weelderig vernuft?",[],False,
"De Steel of Stam, die de Mergagtige zelfstandigheid bevat, gevoed door den Bast, en dikwyls verdeeld in verscheide zamengestelde Planten.","[(3, 8, 'plants'), (12, 16, 'plants'), (25, 51, 'plants'), (75, 79, 'plants'), (129, 136, 'plants')]",False,
"Dese dulligheden vervoeren dese arme Barbaren soo verre, dat om eenige gunste te hebben van dese vyanden van alles goeds, en dese Tygeren te temmen, sy haar verscheyde geringe diensten op-dragen.","[(130, 137, 'animals')]",False,
"Barcq hebben, gaense nae eenige Sand-banck.","[(14, 20, 'animals')]",False,
meriwide 288.,[],False,
In de achtste Afdeeling beschryft de Heer van der haar zyne eenvoudige en met zeer veel vrucht aangewende geneeswyze der Horlvoeten.,[],False,
"‘Wie deze kompositie’ - zegt Wagner - ‘met die der Feën mogt vergelijken, zou naauwelijks kunnen begrijpen, hoe het mogelijk is, dat in zulk een korten tijd zulk een in 't oog loopende omkeer in rigting plaats kon vinden: de vereffening dier contrasten moest het werk mijner verdere ontwikkeling als kunstenaar zijn.",[],False,
"Zy drage een vrugt van twe tot twe jaren, die gelykt na een Neut, en zeer scherp is op de tong.","[(60, 64, 'plants')]",False,
"onze vriend pope heeft wèl aangemerkt, ‘dat iedere vrouw een gaauwdief in haar hart is;’ o de eigenliefde is zeer in haar schik, als zij ziet dat men haar den neusdoek toegooit, daar zij omringd is van zusterschoonheden: vaarwel!",[],False,
"L.D.S.P. Dat past een zulcke telgh, geteelt van zulck een boom.","[(58, 62, 'plants')]",False,
"Den bliksem leidt hij onschadelijk van den hemel af, en millioenen malen sneller dan de adelaar vliegt vliegen op de vleugelen der electriciteit zijn gedachten voort, hechten volken, werelddeelen aan elkaar en doortrillen de zwijgende diepten van den oceaan.","[(88, 95, 'animals')]",False,
"[Helm] HELM, z.n., m., des helms, of van den helm; zonder meerv.","[(1, 5, 'plants')]",False,
"Als geschiedkundige bijzonderheid zij hier vermeld, dat hij, tusschen zijne vrienden, uit hoofde zijner rijzige en slanke gestalte, den toenaam droeg van de Stek, eene benaming die hem volstrekt niet ergerde.",[],False,
"Mijn hertje wel hoe dus, Dat ghy my niet ontfanght met een gewoone kus?","[(5, 11, 'animals')]",False,
"Ik weet dan, schrei ik nu: Gy zult eens met meêdoogen Mijn zilte traanen droogen, En storten uwen zegen Met volle stroomen uit, Gelijk een milden regen Op 't schier verwelkert kruid.","[(176, 181, 'plants')]",False,
